KINYARA SUGAR L.T.D.  WARD (04),KINYARA SUGAR L T D WARD (04)
KASANA P.W.D WARD (22),KASANA P W D WARD (22)
SEN. QUARTERS WARD (07),SEN QUARTERS WARD (07)
KABAALE T.C A (03),KABAALE T C A (03)
NYABYEYA  T/C (08),NYABYEYA T/C (08)
MABAALE T.C WEST (07),MABAALE T C WEST (07)
MABAALE T.C NORTH (03),MABAALE T C NORTH (03)
MABAALE T.C EAST (28),MABAALE T C EAST (28)
ST. EDWARDS BUKUUMI (13),ST EDWARDS BUKUUMI (13)
RANCH NO.1 (04),RANCH NO 1 (04)
RANCH NO. 4 (01),RANCH NO 4 (01)
RANCH NO. 8 (02),RANCH NO 8 (02)
RANCH NO. 25 VET. (03),RANCH NO 25 VET (03)
LWEBITAKULI T.C (07),LWEBITAKULI T C (07)
KASAMBYA T.C. (17),KASAMBYA T C (17)
NTETE T.C (23),NTETE T C (23)
KABAGGOLO  B (02),KABAGGOLO B (02)
KANNAMBA D.F.I. (01),KANNAMBA D F I (01)
MPUMUDDE T.C (13),MPUMUDDE T C (13)
KICWAMBA T.C (09),KICWAMBA T C (09)
BUKOMANSIMBI T.C (03),BUKOMANSIMBI T C (03)
KAGOLOGOLO T.C (02),KAGOLOGOLO T C (02)
KITOMA S.S (04),KITOMA S S (04)
BUTAYUNJA T.C (03),BUTAYUNJA T C (03)
MISANVU T.C (06),MISANVU T C (06)
BUYOGA T.C (01),BUYOGA T C (01)
NABUTONGWA T.C (07),NABUTONGWA T C (07)
NTALE T.CENTRE (05),NTALE T CENTRE (05)
KYETUME T.C A (12),KYETUME T C A (12)
KYETUME T.C B (12),KYETUME T C B (12)
BIJAABA T.C (04),BIJAABA T C (04)
T.D.O CELL (02),T D O CELL (02)
MYANZI T.C. (09),MYANZI T C (09)
KUMBU H.E (06),KUMBU H E (06)
MASAKA S.S.S (08),MASAKA S S S (08)
KYABAKUZA T.C (04),KYABAKUZA T C (04)
U.T.C MASAKA (08),U T C MASAKA (08)
ST.HENRYS COLLEGE KITOVU (06),ST HENRYS COLLEGE KITOVU (06)
KITENGEESA T.C. (03),KITENGEESA T C (03)
MPUGWE T.C (06),MPUGWE T C (06)
ST. ALOYSIUS A (03),ST ALOYSIUS A (03)
ST. ALOYSIUS B (04),ST ALOYSIUS B (04)
NGORA INS. COMP A (01),NGORA INS COMP A (01)
NGORA INS. COMP B (02),NGORA INS COMP B (02)
NGORA INS. COMP C (03),NGORA INS COMP C (03)
LWABOBA T.C (29),LWABOBA T C (29)
NYONDO P.T.C (13),NYONDO P T C (13)
ST. PETERS COLLEGE (04),ST PETERS COLLEGE (04)
MUKUJU CORE P.T.C (10),MUKUJU CORE P T C (10)
TINDO  CENTRAL (17),TINDO CENTRAL (17)
MIWU T.C (10),MIWU T C (10)
KYAMBOGO T.C (12),KYAMBOGO T C (12)
NALUGUGU T.C (31),NALUGUGU T C (31)
KIGOMU T.C (13),KIGOMU T C (13)
STORE T.C (19),STORE T C (19)
KIYEMBE T.C (11),KIYEMBE T C (11)
BUNABUSUSU T.C (02),BUNABUSUSU T C (02)
NAMAWUGULU T.C (14),NAMAWUGULU T C (14)
PATTO T.C (15),PATTO T C (15)
NAMAPANGA T.C (13),NAMAPANGA T C (13)
KISANJA T.C (15),KISANJA T C (15)
BUKUMBALE T.C (02),BUKUMBALE T C (02)
KAVULE T.C (01),KAVULE T C (01)
BUBUNGI T.C (02),BUBUNGI T C (02)
SHIYANZA T.C (10),SHIYANZA T C (10)
NAMETSI T.C (16),NAMETSI T C (16)
LWANGOYE T.C (02),LWANGOYE T C (02)
MUKANGA T.C (07),MUKANGA T C (07)
MUSISI T.C (10),MUSISI T C (10)
NANGAKO T.C (19),NANGAKO T C (19)
BUMWALYE T.C (02),BUMWALYE T C (02)
KUUSHU T.C (09),KUUSHU T C (09)
NANGARA T.C (08),NANGARA T C (08)
KIKHOLO T.C (07),KIKHOLO T C (07)
BUYAGA S.S (04),BUYAGA S S (04)
GIMADU T.C (01),GIMADU T C (01)
MAYILA T.C (04),MAYILA T C (04)
BULAGO T.C (01),BULAGO T C (01)
NAKWEKWE T.C (11),NAKWEKWE T C (11)
KIBAYA T.C (22),KIBAYA T C (22)
MADAMA T.C (26),MADAMA T C (26)
MAGABO T.C (27),MAGABO T C (27)
KIGANDA T.C (02),KIGANDA T C (02)
BUGATISA T.C (24),BUGATISA T C (24)
GIMADU T.C (25),GIMADU T C (25)
MASOLA T.C (25),MASOLA T C (25)
MASAKA T.C (01),MASAKA T C (01)
LINE T.C (02),LINE T C (02)
NAMAGUDE T.C (10),NAMAGUDE T C (10)
KAGOLO T.C (01),KAGOLO T C (01)
BUGIMWERA T.C (01),BUGIMWERA T C (01)
KINGANDA T.C (04),KINGANDA T C (04)
MASOLA T.C (29),MASOLA T C (29)
NIGGO T.C (33),NIGGO T C (33)
KINGANDA T.C (04),KINGANDA T C (04)
SUGUTA T.C (12),SUGUTA T C (12)
NAKIZUBO T.C (02),NAKIZUBO T C (02)
KIDIBO T.C (01),KIDIBO T C (01)
NAKIZUNGU T.C (08),NAKIZUNGU T C (08)
JAMBULA T.C (02),JAMBULA T C (02)
MUVULE T.C (03),MUVULE T C (03)
NEMBA T.C (05),NEMBA T C (05)
